dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,kappa,0.1999999999999999,0,chronological,240,60,46,0.1648287773132324,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,accuracy,0.6,0,chronological,240,60,46,0.1648287773132324,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,balanced_accuracy,0.6000000000000001,0,chronological,240,60,46,0.1648287773132324,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LDA,kappa,0.2333333333333332,0,chronological,240,60,46,0.0866529941558837,ad4c2abc31c8,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LDA,accuracy,0.6166666666666667,0,chronological,240,60,46,0.0866529941558837,ad4c2abc31c8,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LDA,balanced_accuracy,0.6166666666666667,0,chronological,240,60,46,0.0866529941558837,ad4c2abc31c8,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LogReg,kappa,0.3,0,chronological,240,60,46,0.0885660648345947,688f919f3ab0,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LogReg,accuracy,0.65,0,chronological,240,60,46,0.0885660648345947,688f919f3ab0,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LogReg,balanced_accuracy,0.6499999999999999,0,chronological,240,60,46,0.0885660648345947,688f919f3ab0,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,Riemann TS + LogReg,kappa,0.3666666666666667,0,chronological,240,60,46,1.1224236488342283,b4736e60e22e,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,Riemann TS + LogReg,accuracy,0.6833333333333333,0,chronological,240,60,46,1.1224236488342283,b4736e60e22e,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,Riemann TS + LogReg,balanced_accuracy,0.6833333333333333,0,chronological,240,60,46,1.1224236488342283,b4736e60e22e,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,kappa,0.0999999999999999,1,chronological,240,60,46,0.0806300640106201,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,accuracy,0.55,1,chronological,240,60,46,0.0806300640106201,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,HighGamma + LDA,balanced_accuracy,0.55,1,chronological,240,60,46,0.0806300640106201,f0ad027786a9,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
Miller2019-faces_basic,aa,faceshouses,LogBandPower + LDA,kappa,0.3666666666666667,1,chronological,240,60,46,0.0841197967529296,ad4c2abc31c8,dfb96670a964,within_subject,0.3.0.dev0,2026-09-10T20:13:25
